FEATURE,FEATURE2,NAME,POP 2010,COUNTY,COUNTY FIPS,STATE,STATE FIPS,LATITUDE,LONGITUDE
Census,-999,Sweetwater,83,Pinal,021,AZ,04,33.1316927,-111.844717
Census,-999,Nanafalia,94,Marengo,091,AL,01,32.1129257,-87.9880691
Census,-999,Frierson,143,De Soto,031,LA,22,32.2518252,-93.6899007
Census,-999,Deer Park,188,Washington,129,AL,01,31.2168416,-88.317234
Census,-999,Catahoula,1094,Saint Martin,099,LA,22,30.2146431,-91.7090023
Census,-999,Ellison Bay,165,Door,029,WI,55,45.2547094,-87.0715033
Census,-999,Churchill,902,Gallatin,031,MT,30,45.7507619,-111.3044025
Census,-999,Caroga Lake,518,Fulton,035,NY,36,43.137849,-74.4812516
Census,-999,Campbell,713,Steuben,101,NY,36,42.2331295,-77.1974748
Census,-999,Garden City,89,Hardin,083,IA,19,42.2455406,-93.3954865
Census,-999,Russell,786,Hampden,013,MA,25,42.189813,-72.8592642
Census,-999,Chepachet,1675,Providence,007,RI,44,41.9150986,-71.6714555
Census,-999,Sweden Valley,223,Potter,105,PA,42,41.7564549,-77.9502794
Census,-999,Starbrick,522,Warren,123,PA,42,41.8403372,-79.2053242
Census,-999,Greene,888,Kent,003,RI,44,41.6912104,-71.7459022
Census,-999,Hudson Lake,1297,LaPorte,091,IN,18,41.7103228,-86.5341854
Census,-999,Bascom,390,Seneca,147,OH,39,41.1328321,-83.2852003
Census,-999,West Decatur,533,Clearfield,033,PA,42,40.9283907,-78.2780707
Census,-999,New Tripoli,898,Lehigh,077,PA,42,40.6809278,-75.7518575
Census,-999,Mammoth,525,Westmoreland,129,PA,42,40.2009043,-79.4630927
Census,-999,Douglassville,448,Berks,011,PA,42,40.2578714,-75.7263008
Census,-999,Paris,732,Washington,125,PA,42,40.4036795,-80.5125686
Census,-999,Cairnbrook,520,Somerset,111,PA,42,40.1189672,-78.8180772
Census,-999,Linganore,8543,Frederick,021,MD,24,39.4403801,-77.2080378
Census,-999,Good Hope,234,Fayette,047,OH,39,39.4472853,-83.3649154
Census,-999,Grantville,180,Jefferson,087,KS,20,39.0833331,-95.5613668
Census,-999,Loma,1293,Mesa,077,CO,08,39.1958139,-108.813158
Census,-999,Bucyrus,193,Miami,121,KS,20,38.7263985,-94.7182912
Census,-999,Hatfield,813,Spencer,147,IN,18,37.9025469,-87.2241684
Census,County Seat,Hanover,252,Hanover,085,VA,51,37.766531,-77.3702584
Census,-999,New Hope,129,Nelson,179,KY,21,37.6320064,-85.5082964
Census,-999,Chicopee,408,Crawford,037,KS,20,37.3819962,-94.7419051
Census,-999,Gratton,937,Tazewell,185,VA,51,37.1348383,-81.4139949
Census,-999,Hiseville,240,Barren,009,KY,21,37.1008864,-85.8124723
Census,-999,Mount Hermon,3966,Pittsylvania,143,VA,51,36.6784708,-79.422247
Census,-999,Lucien,88,Noble,103,OK,40,36.2787073,-97.47855049
Census,-999,Greenfield,3991,Kern,029,CA,06,35.26885,-119.0028801
Census,-999,Monument,206,Lea,025,NM,35,32.6240102,-103.2643694
Populated Place,-999,Pueblito del Carmen,572,Guayama,057,PR,72,18.031545,-66.1655767
Populated Place,-999,Lucile,-999,Idaho,049,ID,16,45.5351658,-116.3104142
